check_key,field_key,answer_option,test_bundle,trigger_type,trigger_key,priority_weight,merge_group,max_occurrences,explanation_template,mechanism,test_focus,priority_rationale,created_at,updated_at
preventive_baseline,last_tests,More than 12 months ago,Cholesterol / lipids,recency,last_tests|More than 12 months ago|Cholesterol / lipids,3,modifier,1,"Because your cholesterol / lipids testing is more than 12 months ago, this check helps refresh the information needed to interpret your current risk and next steps.",,baseline recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
preventive_baseline,last_tests,Never / not sure,Cholesterol / lipids,recency,last_tests|Never / not sure|Cholesterol / lipids,4,modifier,1,"Because your cholesterol / lipids testing is never / not sure, this check helps refresh the information needed to interpret your current risk and next steps.",,baseline recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
preventive_baseline,last_tests,More than 12 months ago,Iron / ferritin,recency,last_tests|More than 12 months ago|Iron / ferritin,3,modifier,1,"Because your iron / ferritin testing is more than 12 months ago, this check helps refresh the information needed to interpret your current risk and next steps.",,baseline recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
preventive_baseline,last_tests,Never / not sure,Iron / ferritin,recency,last_tests|Never / not sure|Iron / ferritin,4,modifier,1,"Because your iron / ferritin testing is never / not sure, this check helps refresh the information needed to interpret your current risk and next steps.",,baseline recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
preventive_baseline,last_tests,More than 12 months ago,Thyroid,recency,last_tests|More than 12 months ago|Thyroid,3,modifier,1,"Because your thyroid testing is more than 12 months ago, this check helps refresh the information needed to interpret your current risk and next steps.",,baseline recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
preventive_baseline,last_tests,Never / not sure,Thyroid,recency,last_tests|Never / not sure|Thyroid,4,modifier,1,"Because your thyroid testing is never / not sure, this check helps refresh the information needed to interpret your current risk and next steps.",,baseline recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
preventive_baseline,last_tests,More than 12 months ago,Vitamin D,recency,last_tests|More than 12 months ago|Vitamin D,3,modifier,1,"Because your vitamin d testing is more than 12 months ago, this check helps refresh the information needed to interpret your current risk and next steps.",,baseline recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
preventive_baseline,last_tests,Never / not sure,Vitamin D,recency,last_tests|Never / not sure|Vitamin D,4,modifier,1,"Because your vitamin d testing is never / not sure, this check helps refresh the information needed to interpret your current risk and next steps.",,baseline recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
iron_ferritin,symptoms,Fatigue / low energy,,symptom,symptoms|Fatigue / low energy|,5,driver,1,"Fatigue can be linked to low iron stores or anemia, so ferritin and blood-count markers are a practical first step.",,"ferritin, hemoglobin, red blood cell indices",,46136.663194444445,46136.663194444445
iron_ferritin,symptoms,Hair loss / brittle hair,,symptom,symptoms|Hair loss / brittle hair|,4,driver,1,"Hair shedding or brittle hair can overlap with low ferritin, thyroid imbalance, or nutrient insufficiency.",,"ferritin, hemoglobin, red blood cell indices",,46136.663194444445,46136.663194444445
iron_ferritin,symptoms,Heavy periods,,symptom,symptoms|Heavy periods|,5,driver,1,"Heavy periods can increase iron loss over time, making ferritin and blood-count markers especially relevant.",,"ferritin, hemoglobin, red blood cell indices",,46136.663194444445,46136.663194444445
iron_ferritin,symptoms,Brain fog,,symptom,symptoms|Brain fog|,3,driver,1,"Brain fog can overlap with low iron, B12/folate, thyroid, or blood-sugar patterns, so this check helps rule out common contributors.",,"ferritin, hemoglobin, red blood cell indices",,46136.663194444445,46136.663194444445
iron_ferritin,cycle_pattern,Very heavy,,symptom,cycle_pattern|Very heavy|,5,driver,1,"Very heavy cycles can create ongoing iron loss, so checking ferritin and blood count is important before symptoms worsen.",,ferritin and complete blood count,,46136.663194444445,46136.663194444445
iron_ferritin,diet_pattern,Vegetarian,,diet,diet_pattern|Vegetarian|,4,driver,1,"A vegetarian pattern can lower intake of easily absorbed heme iron, making ferritin and B12/folate context more useful.",,iron stores and blood count,,46136.663194444445,46136.663194444445
iron_ferritin,diet_pattern,Vegan,,diet,diet_pattern|Vegan|,5,driver,1,"A vegan pattern can reduce easily absorbed iron and B12 intake, so iron status and related blood markers become more important.",,iron stores and blood count,,46136.663194444445,46136.663194444445
iron_ferritin,diet_pattern,Low red meat intake,,diet,diet_pattern|Low red meat intake|,4,driver,1,"Low red meat intake can reduce heme iron exposure, making ferritin and blood-count markers more relevant.",,iron stores and blood count,,46136.663194444445,46136.663194444445
iron_ferritin,diet_pattern,Restrictive dieting,,diet,diet_pattern|Restrictive dieting|,3,driver,1,"Restrictive dieting can reduce iron, B12, folate, and protein intake, which can show up as fatigue or hair changes.",,iron stores and blood count,,46136.663194444445,46136.663194444445
iron_ferritin,known_conditions,Iron deficiency / anemia,,condition,known_conditions|Iron deficiency / anemia|,6,driver,1,A history of iron deficiency or anemia makes ferritin and blood-count monitoring a high-priority follow-up.,,"ferritin, hemoglobin, transferrin saturation",,46136.663194444445,46136.663194444445
iron_ferritin,medications_or_hormones,Iron supplements,,medication,medications_or_hormones|Iron supplements|,4,driver,1,"Because you use iron supplements, testing helps confirm whether stores are improving and avoids supplementing blindly.",,ferritin and iron saturation,,46136.663194444445,46136.663194444445
iron_ferritin,life_stage,Pregnant,,life_stage,life_stage|Pregnant|,5,driver,1,"Pregnant increases the importance of adequate iron stores for energy, recovery, and reproductive health.",,ferritin and blood count,,46136.663194444445,46136.663194444445
iron_ferritin,life_stage,Postpartum (last 12 months),,life_stage,life_stage|Postpartum (last 12 months)|,5,driver,1,"Postpartum (last 12 months) increases the importance of adequate iron stores for energy, recovery, and reproductive health.",,ferritin and blood count,,46136.663194444445,46136.663194444445
iron_ferritin,life_stage,Trying to conceive,,life_stage,life_stage|Trying to conceive|,3,driver,1,"Trying to conceive increases the importance of adequate iron stores for energy, recovery, and reproductive health.",,ferritin and blood count,,46136.663194444445,46136.663194444445
iron_ferritin,last_tests,More than 12 months ago,Iron / ferritin,recency,last_tests|More than 12 months ago|Iron / ferritin,3,modifier,1,"Because your iron / ferritin testing is more than 12 months ago, this check helps refresh the information needed to interpret your current risk and next steps.",,iron recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
iron_ferritin,last_tests,Never / not sure,Iron / ferritin,recency,last_tests|Never / not sure|Iron / ferritin,4,modifier,1,"Because your iron / ferritin testing is never / not sure, this check helps refresh the information needed to interpret your current risk and next steps.",,iron recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
vitamin_d,sun_exposure,Rarely,,lifestyle,sun_exposure|Rarely|,5,driver,1,"Low sun exposure reduces natural vitamin D production, so a blood level helps guide whether supplementation is needed.",,25-OH vitamin D,,46136.663194444445,46136.663194444445
vitamin_d,sun_exposure,Almost never,,lifestyle,sun_exposure|Almost never|,6,driver,1,"Very low sun exposure makes vitamin D deficiency more likely, especially during darker months or indoor routines.",,25-OH vitamin D,,46136.663194444445,46136.663194444445
vitamin_d,known_conditions,Vitamin D deficiency,,condition,known_conditions|Vitamin D deficiency|,6,driver,1,A previous vitamin D deficiency makes rechecking useful to confirm whether levels are now in range.,,25-OH vitamin D,,46136.663194444445,46136.663194444445
vitamin_d,symptoms,Frequent infections,,symptom,symptoms|Frequent infections|,3,driver,1,Frequent infections can make vitamin D status relevant because vitamin D supports immune function.,,25-OH vitamin D,,46136.663194444445,46136.663194444445
vitamin_d,symptoms,Fatigue / low energy,,symptom,symptoms|Fatigue / low energy|,2,driver,1,"Fatigue is not specific, but vitamin D deficiency can contribute to low energy in some people.",,25-OH vitamin D,,46136.663194444445,46136.663194444445
vitamin_d,medications_or_hormones,Vitamin D supplements,,medication,medications_or_hormones|Vitamin D supplements|,4,driver,1,"Because you take vitamin D supplements, a blood level helps check whether the dose is sufficient and not excessive.",,25-OH vitamin D,,46136.663194444445,46136.663194444445
vitamin_d,diet_pattern,Dairy-free,,diet,diet_pattern|Dairy-free|,2,driver,1,"Dairy-free can reduce intake of vitamin-D-fortified foods, so checking status can help personalize supplementation.",,25-OH vitamin D,,46136.663194444445,46136.663194444445
vitamin_d,diet_pattern,Vegan,,diet,diet_pattern|Vegan|,2,driver,1,"Vegan can reduce intake of vitamin-D-fortified foods, so checking status can help personalize supplementation.",,25-OH vitamin D,,46136.663194444445,46136.663194444445
vitamin_d,diet_pattern,Restrictive dieting,,diet,diet_pattern|Restrictive dieting|,2,driver,1,"Restrictive dieting can reduce intake of vitamin-D-fortified foods, so checking status can help personalize supplementation.",,25-OH vitamin D,,46136.663194444445,46136.663194444445
vitamin_d,last_tests,More than 12 months ago,Vitamin D,recency,last_tests|More than 12 months ago|Vitamin D,3,modifier,1,"Because your vitamin d testing is more than 12 months ago, this check helps refresh the information needed to interpret your current risk and next steps.",,vitamin D recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
vitamin_d,last_tests,Never / not sure,Vitamin D,recency,last_tests|Never / not sure|Vitamin D,4,modifier,1,"Because your vitamin d testing is never / not sure, this check helps refresh the information needed to interpret your current risk and next steps.",,vitamin D recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
thyroid_function,goals,Thyroid health,,goal,goals|Thyroid health|,5,driver,1,"Because thyroid health is a current goal, this check focuses on markers that influence energy, weight, mood, hair, cycle regularity, and temperature regulation.",,"TSH, free T4, free T3 when appropriate",,46136.663194444445,46136.663194444445
thyroid_function,symptoms,Fatigue / low energy,,symptom,symptoms|Fatigue / low energy|,4,driver,1,"Fatigue can overlap with underactive thyroid function, so thyroid markers are useful alongside iron and vitamin D.",,TSH and thyroid hormone context,,46136.663194444445,46136.663194444445
thyroid_function,symptoms,Hair loss / brittle hair,,symptom,symptoms|Hair loss / brittle hair|,4,driver,1,"Hair changes can occur with thyroid imbalance, low iron, or nutrient deficiency, making thyroid function relevant.",,TSH and thyroid hormone context,,46136.663194444445,46136.663194444445
thyroid_function,symptoms,Weight gain / hard to lose weight,,symptom,symptoms|Weight gain / hard to lose weight|,4,driver,1,Weight gain or difficulty losing weight can be influenced by thyroid function and metabolic markers.,,TSH and thyroid hormone context,,46136.663194444445,46136.663194444445
thyroid_function,symptoms,Low mood / mood swings,,symptom,symptoms|Low mood / mood swings|,3,driver,1,"Mood changes can overlap with thyroid imbalance, stress load, and reproductive hormone changes.",,TSH and thyroid hormone context,,46136.663194444445,46136.663194444445
thyroid_function,symptoms,Irregular cycle,,symptom,symptoms|Irregular cycle|,4,driver,1,"Irregular cycles can sometimes reflect thyroid dysfunction, so thyroid testing helps separate endocrine causes.",,TSH and thyroid hormone context,,46136.663194444445,46136.663194444445
thyroid_function,symptoms,Brain fog,,symptom,symptoms|Brain fog|,3,driver,1,"Brain fog can overlap with thyroid, iron, B12, sleep, stress, or glucose patterns.",,TSH and thyroid hormone context,,46136.663194444445,46136.663194444445
thyroid_function,cycle_pattern,Irregular,,symptom,cycle_pattern|Irregular|,4,driver,1,Your cycle pattern makes thyroid function worth checking because thyroid hormones can affect ovulation and menstrual regularity.,,TSH and free T4,,46136.663194444445,46136.663194444445
thyroid_function,cycle_pattern,I don’t currently menstruate,,symptom,cycle_pattern|I don’t currently menstruate|,3,driver,1,Your cycle pattern makes thyroid function worth checking because thyroid hormones can affect ovulation and menstrual regularity.,,TSH and free T4,,46136.663194444445,46136.663194444445
thyroid_function,known_conditions,Thyroid disorder,,condition,known_conditions|Thyroid disorder|,6,driver,1,A thyroid disorder history makes thyroid monitoring a high-priority check rather than a general wellness add-on.,,"TSH, free T4 and medication monitoring context",,46136.663194444445,46136.663194444445
thyroid_function,medications_or_hormones,Thyroid medication,,medication,medications_or_hormones|Thyroid medication|,5,driver,1,"Because you use thyroid medication, testing helps confirm whether current dosing aligns with your symptoms and goals.",,TSH and free T4,,46136.663194444445,46136.663194444445
thyroid_function,family_history,Thyroid disease,,family_history,family_history|Thyroid disease|,3,driver,1,"A family history of thyroid disease raises the relevance of thyroid screening, especially when symptoms overlap.",,TSH,,46136.663194444445,46136.663194444445
thyroid_function,family_history,Autoimmune disease,,family_history,family_history|Autoimmune disease|,2,driver,1,Family autoimmune history can raise the relevance of thyroid autoimmunity context if thyroid markers are abnormal or symptoms persist.,,thyroid antibodies later if indicated,,46136.663194444445,46136.663194444445
thyroid_function,last_tests,More than 12 months ago,Thyroid,recency,last_tests|More than 12 months ago|Thyroid,3,modifier,1,"Because your thyroid testing is more than 12 months ago, this check helps refresh the information needed to interpret your current risk and next steps.",,thyroid recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
thyroid_function,last_tests,Never / not sure,Thyroid,recency,last_tests|Never / not sure|Thyroid,4,modifier,1,"Because your thyroid testing is never / not sure, this check helps refresh the information needed to interpret your current risk and next steps.",,thyroid recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
cardiometabolic_risk,goals,Weight / metabolism,,goal,goals|Weight / metabolism|,5,driver,1,"Because weight or metabolism is a current goal, this check prioritizes glucose, insulin, and lipid markers that guide practical next steps.",,"HbA1c, fasting glucose/insulin, lipids",,46136.663194444445,46136.663194444445
cardiometabolic_risk,goals,Cardiovascular / long-term health,,goal,goals|Cardiovascular / long-term health|,5,driver,1,"Because long-term cardiovascular health is a goal, cholesterol, glucose, and vascular-risk markers become more relevant.",,"HbA1c, fasting glucose/insulin, lipids",,46136.663194444445,46136.663194444445
cardiometabolic_risk,symptoms,Weight gain / hard to lose weight,,symptom,symptoms|Weight gain / hard to lose weight|,4,driver,1,"Weight gain or difficulty losing weight can be related to insulin resistance, thyroid function, sleep, stress, or lipid patterns.",,blood sugar and lipid risk,,46136.663194444445,46136.663194444445
cardiometabolic_risk,symptoms,Fatigue / low energy,,symptom,symptoms|Fatigue / low energy|,2,driver,1,"Fatigue can overlap with blood-sugar instability, especially when paired with weight or metabolic concerns.",,blood sugar and lipid risk,,46136.663194444445,46136.663194444445
cardiometabolic_risk,known_conditions,High cholesterol,,condition,known_conditions|High cholesterol|,6,driver,1,A high cholesterol history makes lipid follow-up a high-priority part of prevention.,,"lipids, HbA1c, glucose/insulin",,46136.663194444445,46136.663194444445
cardiometabolic_risk,known_conditions,Prediabetes / insulin resistance,,condition,known_conditions|Prediabetes / insulin resistance|,6,driver,1,A prediabetes or insulin-resistance history makes glucose and insulin markers important to reassess now.,,"lipids, HbA1c, glucose/insulin",,46136.663194444445,46136.663194444445
cardiometabolic_risk,known_conditions,Diabetes,,condition,known_conditions|Diabetes|,6,driver,1,A diabetes history means blood-sugar monitoring belongs in the core plan rather than an optional later check.,,"lipids, HbA1c, glucose/insulin",,46136.663194444445,46136.663194444445
cardiometabolic_risk,family_history,High cholesterol / heart disease,,family_history,family_history|High cholesterol / heart disease|,5,driver,1,Family history of high cholesterol or heart disease raises the priority of lipid and vascular-risk screening.,,lipids and cardiovascular risk markers,,46136.663194444445,46136.663194444445
cardiometabolic_risk,family_history,Diabetes,,family_history,family_history|Diabetes|,4,driver,1,Family history of diabetes raises the relevance of blood-sugar screening even before symptoms appear.,,"HbA1c, fasting glucose",,46136.663194444445,46136.663194444445
cardiometabolic_risk,medications_or_hormones,GLP-1 / weight-loss medication,,medication,medications_or_hormones|GLP-1 / weight-loss medication|,4,driver,1,"If you use GLP-1 or weight-loss medication, metabolic markers help track response and nutritional safety.",,"HbA1c, lipids, liver/kidney context",,46136.663194444445,46136.663194444445
cardiometabolic_risk,age_range,35–39,,age,age_range|35–39|,2,context,1,"At 35–39, cardiometabolic screening becomes more useful for catching early changes in blood sugar, cholesterol, and vascular risk.",,lipids and blood sugar,,46136.663194444445,46136.663194444445
cardiometabolic_risk,age_range,40–44,,age,age_range|40–44|,2,context,1,"At 40–44, cardiometabolic screening becomes more useful for catching early changes in blood sugar, cholesterol, and vascular risk.",,lipids and blood sugar,,46136.663194444445,46136.663194444445
cardiometabolic_risk,age_range,45–49,,age,age_range|45–49|,2,context,1,"At 45–49, cardiometabolic screening becomes more useful for catching early changes in blood sugar, cholesterol, and vascular risk.",,lipids and blood sugar,,46136.663194444445,46136.663194444445
cardiometabolic_risk,age_range,50–54,,age,age_range|50–54|,2,context,1,"At 50–54, cardiometabolic screening becomes more useful for catching early changes in blood sugar, cholesterol, and vascular risk.",,lipids and blood sugar,,46136.663194444445,46136.663194444445
cardiometabolic_risk,age_range,55+,,age,age_range|55+|,2,context,1,"At 55+, cardiometabolic screening becomes more useful for catching early changes in blood sugar, cholesterol, and vascular risk.",,lipids and blood sugar,,46136.663194444445,46136.663194444445
cardiometabolic_risk,last_tests,More than 12 months ago,Blood sugar / HbA1c,recency,last_tests|More than 12 months ago|Blood sugar / HbA1c,3,modifier,1,"Because your blood sugar / hba1c testing is more than 12 months ago, this check helps refresh the information needed to interpret your current risk and next steps.",,glucose recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
cardiometabolic_risk,last_tests,Never / not sure,Blood sugar / HbA1c,recency,last_tests|Never / not sure|Blood sugar / HbA1c,4,modifier,1,"Because your blood sugar / hba1c testing is never / not sure, this check helps refresh the information needed to interpret your current risk and next steps.",,glucose recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
cardiometabolic_risk,last_tests,More than 12 months ago,Cholesterol / lipids,recency,last_tests|More than 12 months ago|Cholesterol / lipids,3,modifier,1,"Because your cholesterol / lipids testing is more than 12 months ago, this check helps refresh the information needed to interpret your current risk and next steps.",,lipid recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
cardiometabolic_risk,last_tests,Never / not sure,Cholesterol / lipids,recency,last_tests|Never / not sure|Cholesterol / lipids,4,modifier,1,"Because your cholesterol / lipids testing is never / not sure, this check helps refresh the information needed to interpret your current risk and next steps.",,lipid recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
female_hormone_balance,goals,Hormones / cycle balance,,goal,goals|Hormones / cycle balance|,5,driver,1,"Because hormone or cycle balance is a goal, this check focuses on patterns that may explain cycle changes, libido, androgen symptoms, or perimenopause transition.",,cycle hormones and androgen context,,46136.663194444445,46136.663194444445
female_hormone_balance,goals,Fertility / reproductive planning,,goal,goals|Fertility / reproductive planning|,3,driver,1,"Fertility planning makes hormone context more useful, especially if cycles are irregular or age timing matters.",,cycle hormones and androgen context,,46136.663194444445,46136.663194444445
female_hormone_balance,symptoms,Irregular cycle,,symptom,symptoms|Irregular cycle|,5,driver,1,"Irregular cycles can reflect ovulation, thyroid, prolactin, androgen, or stress-related patterns.",,"cycle pattern, androgen and thyroid context",,46136.663194444445,46136.663194444445
female_hormone_balance,symptoms,Painful periods,,symptom,symptoms|Painful periods|,3,driver,1,Painful periods can be linked to inflammatory or gynecologic conditions and may need clinical follow-up if persistent.,,"cycle pattern, androgen and thyroid context",,46136.663194444445,46136.663194444445
female_hormone_balance,symptoms,Heavy periods,,symptom,symptoms|Heavy periods|,4,driver,1,"Heavy periods affect both hormone interpretation and iron risk, so this signal should shape the order of testing.",,"cycle pattern, androgen and thyroid context",,46136.663194444445,46136.663194444445
female_hormone_balance,symptoms,Acne / excess facial hair,,symptom,symptoms|Acne / excess facial hair|,5,driver,1,"Acne or excess facial hair can point to androgen excess, making androgen and metabolic context more relevant.",,"cycle pattern, androgen and thyroid context",,46136.663194444445,46136.663194444445
female_hormone_balance,symptoms,Low libido,,symptom,symptoms|Low libido|,3,driver,1,"Low libido can overlap with hormones, stress, sleep, thyroid, mood, and relationship context.",,"cycle pattern, androgen and thyroid context",,46136.663194444445,46136.663194444445
female_hormone_balance,symptoms,Low mood / mood swings,,symptom,symptoms|Low mood / mood swings|,2,driver,1,"Mood swings can overlap with cycle hormone changes, thyroid, sleep, and stress patterns.",,"cycle pattern, androgen and thyroid context",,46136.663194444445,46136.663194444445
female_hormone_balance,cycle_pattern,Irregular,,symptom,cycle_pattern|Irregular|,5,driver,1,"Your cycle pattern makes hormone-balance context more relevant, especially when symptoms or fertility goals are also present.",,hormone and cycle context,,46136.663194444445,46136.663194444445
female_hormone_balance,cycle_pattern,Very painful,,symptom,cycle_pattern|Very painful|,3,driver,1,"Your cycle pattern makes hormone-balance context more relevant, especially when symptoms or fertility goals are also present.",,hormone and cycle context,,46136.663194444445,46136.663194444445
female_hormone_balance,cycle_pattern,Very heavy,,symptom,cycle_pattern|Very heavy|,4,driver,1,"Your cycle pattern makes hormone-balance context more relevant, especially when symptoms or fertility goals are also present.",,hormone and cycle context,,46136.663194444445,46136.663194444445
female_hormone_balance,cycle_pattern,I don’t currently menstruate,,symptom,cycle_pattern|I don’t currently menstruate|,3,driver,1,"Your cycle pattern makes hormone-balance context more relevant, especially when symptoms or fertility goals are also present.",,hormone and cycle context,,46136.663194444445,46136.663194444445
female_hormone_balance,life_stage,Perimenopause,,life_stage,life_stage|Perimenopause|,5,driver,1,"Perimenopause can bring shifting estrogen, progesterone, sleep, mood, libido, and cycle patterns.",,hormone context by life stage,,46136.663194444445,46136.663194444445
female_hormone_balance,life_stage,Postmenopause,,life_stage,life_stage|Postmenopause|,4,driver,1,"Postmenopause changes cardiometabolic, bone, and hormone-risk context, so hormone interpretation should be tied to prevention.",,hormone context by life stage,,46136.663194444445,46136.663194444445
female_hormone_balance,life_stage,Trying to conceive,,life_stage,life_stage|Trying to conceive|,3,driver,1,"Trying to conceive makes cycle and hormone timing more useful, especially if cycles are irregular.",,hormone context by life stage,,46136.663194444445,46136.663194444445
female_hormone_balance,known_conditions,PCOS,,condition,known_conditions|PCOS|,6,driver,1,"PCOS history makes androgen, cycle, and metabolic markers especially relevant.",,androgen and metabolic context,,46136.663194444445,46136.663194444445
female_hormone_balance,known_conditions,Endometriosis,,condition,known_conditions|Endometriosis|,4,driver,1,Endometriosis history makes painful periods and inflammatory/gynecologic context more important than broad hormone testing alone.,,clinical gynecology pathway with supportive labs,,46136.663194444445,46136.663194444445
female_hormone_balance,medications_or_hormones,Hormonal contraception,,medication,medications_or_hormones|Hormonal contraception|,3,driver,1,"Hormonal contraception can change how reproductive hormones should be interpreted, so timing and test selection matter.",,interpretation context,,46136.663194444445,46136.663194444445
female_hormone_balance,last_tests,More than 12 months ago,Hormones / fertility markers,recency,last_tests|More than 12 months ago|Hormones / fertility markers,3,modifier,1,"Because your hormones / fertility markers testing is more than 12 months ago, this check helps refresh the information needed to interpret your current risk and next steps.",,hormone recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
female_hormone_balance,last_tests,Never / not sure,Hormones / fertility markers,recency,last_tests|Never / not sure|Hormones / fertility markers,4,modifier,1,"Because your hormones / fertility markers testing is never / not sure, this check helps refresh the information needed to interpret your current risk and next steps.",,hormone recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
fertility_reserve,life_stage,Trying to conceive,,life_stage,life_stage|Trying to conceive|,6,driver,1,"Trying to conceive makes ovarian reserve, cycle timing, thyroid, vitamin D, and iron status more actionable.",,"AMH, FSH/LH/estradiol when timed, thyroid, vitamin D",,46136.663194444445,46136.663194444445
fertility_reserve,goals,Fertility / reproductive planning,,goal,goals|Fertility / reproductive planning|,5,driver,1,Fertility planning makes reproductive reserve and hormone context useful for timing decisions.,,"AMH, FSH/LH/estradiol when timed, thyroid, vitamin D",,46136.663194444445,46136.663194444445
fertility_reserve,age_range,35–39,,age,age_range|35–39|,4,driver,1,"At 35–39, fertility planning becomes more time-sensitive, so ovarian reserve context can support earlier decisions.",,AMH and cycle-timed hormones,,46136.663194444445,46136.663194444445
fertility_reserve,age_range,40–44,,age,age_range|40–44|,4,driver,1,"At 40–44, fertility planning becomes more time-sensitive, so ovarian reserve context can support earlier decisions.",,AMH and cycle-timed hormones,,46136.663194444445,46136.663194444445
fertility_reserve,age_range,45–49,,age,age_range|45–49|,4,driver,1,"At 45–49, fertility planning becomes more time-sensitive, so ovarian reserve context can support earlier decisions.",,AMH and cycle-timed hormones,,46136.663194444445,46136.663194444445
fertility_reserve,known_conditions,Fertility issues,,condition,known_conditions|Fertility issues|,6,driver,1,A fertility-history signal makes reproductive reserve and endocrine context high priority.,,"AMH, thyroid, prolactin/cycle hormones where appropriate",,46136.663194444445,46136.663194444445
fertility_reserve,medications_or_hormones,Fertility medication,,medication,medications_or_hormones|Fertility medication|,5,driver,1,Fertility medication use means lab interpretation should align with treatment timing and clinician guidance.,,clinician-directed reproductive labs,,46136.663194444445,46136.663194444445
fertility_reserve,family_history,Early menopause,,family_history,family_history|Early menopause|,5,driver,1,Family history of early menopause raises the value of ovarian reserve testing and timing conversations.,,AMH and reproductive planning,,46136.663194444445,46136.663194444445
